,program,course_title,course_unit,equivalent_courses,instructors,notes
ARTH 18000,Art History,Photography and Film,100,,J. Snyder,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 18202,Art History,"Creative Destruction: War, Violence, and Upheaval in 20th-Century Art",100,,T. Zhurauliova,"Students must attend first class to confirm enrollment. For nonmajors, this course meets the general education requirement in the arts."
ARTH 18305,Art History,New Art in Chicago Museums and Other Spaces,100,,D. English,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 20201,Art History,Topics in Contemporary Theory and Criticism,100,"ARTH 30201,MAPH 40201,ARTV 20201,ARTV 40201",J. Proctor,
ARTH 20506,Art History,"Pompeii: Life, Death, and Afterlife of a Roman City",100,"ARTH 30506,CLCV 20516,CLAS 30516",P. Crowley,
ARTH 20603,Art History,Image and Text in Mexican Codices,100,"ARTH 30603,LACS 20603,LACS 30603",C. Brittenham,
ARTH 21205,Art History,From the Non-Object to the End of Art: The South American 1960s,100,"ARTH 31205,LACS 21205,LACS 31205",M. Sullivan,
ARTH 23310,Art History,Renaissance Geographies: Travel and the Geographic Imagination,100,ARTH 33310,N. Atkinson,
ARTH 23400,Art History,"Art, Architecture, and Identity in the Ottoman Empire",100,"ARTH 33400,NEAA 20801,NEAA 30801",P. Berlekamp,
ARTH 24010,Art History,"Expanded Arts, 1958-1978",100,"ARTH 34010,MAPH 34010,ARTV 20410,ARTV 30410",J. Proctor,
ARTH 24110,Art History,Venetian Painting from Bellini to Titian,100,ARTH 34110,C. Cohen,
ARTH 24350,Art History,Art and Colonialism,100,ARTH 34350,C. Fromont,
ARTH 24812,Art History,Museums and Art,100,ARTH 34812,M. Ward,
ARTH 27304,Art History,Photo/Modernism/Esthetic,100,ARTH 37304,J. Snyder,
ARTH 27615,Art History,"Landscape Painting in the United States, 1830-1950",100,AMER 27615,T. Zhurauliova,
ARTH 28500,Art History,History of International Cinema I: Silent Era,100,"ARTH 38500,ARTV 26500,ARTV 36500,CMLT 22400,CMLT 32400,CMST 48500,ENGL 29300,ENGL 48700,MAPH 36000,CMST 28500",T. Gunning,This is the first part of a two-quarter course.
ARTH 28600,Art History,History of International Cinema II: Sound Era to 1960,100,"ARTH 38600,ARTV 26600,CMLT 22500,CMLT 32500,CMST 48600,ENGL 29600,ENGL 48900,MAPH 33700,CMST 28600",D. Morgan,CMST 28500/48500 strongly recommended
ARTH 29400,Art History,Feminine Space in Chinese Art,100,"ARTH 39400,EALC 27708,EALC 37708",Wu Hung,
ARTH 29600,Art History,Junior Seminar: Doing Art History,100,,,Required of third-year students who are majoring in art history; open to nonmajors with consent of instructor. This course does not meet the general education requirement in the arts.
ARTH 29700,Art History,Reading Course,100,,,"Students are required to submit the College Reading and Research Form. Must be taken for a quality grade. With adviser's approval, students who are majoring in art history may use this course to satisfy requirements for the major, a special field, or electives. This course is also open to nonmajors with advanced standing. This course does not meet the general education requirement in the arts."
ARTH 29800,Art History,Senior Seminar: Writing Workshop,100,,,Required of fourth-year students who are majoring in art history. This course does not meet the general education requirement in the arts.
ARTH 29900,Art History,Preparation for the Senior Paper,100,,,Students are required to submit the College Reading and Research Form. May be taken for P/F grading with consent of instructor. This course may not count toward the twelve courses required in the major. This course does not meet the general education requirement in the arts.
ANTH 20001,Anthropology,Empire and Nation: Varieties of National Experience,100,,S. Gal,"This course qualifies as a ""Discovering Anthropology"" selection for Anthropology majors."
ANTH 20002,Anthropology,"Discovering Anthropology: Culture, Technology, Mediation",100,,M. Fisch,
ANTH 20003,Anthropology,Discovering Anthropology: Reading Race,100,"CRES 20003,HIPS 20003,ANTH 38305",R. Tuttle,
ANTH 20004,Anthropology,Trash: An Introduction to Archaeological Thought,100,,S. Dawdy,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 20100,Anthropology,The Inka and Aztec States,100,"ANTH 40100,LACS 20100,LACS 40305",A. Kolata,
ANTH 20405,Anthropology,Anthropology of Disability,100,"ANTH 30405,CHDV 30405,HMRT 25210,HMRT 35210,SOSC 36900,CHDV 20505,MAPS 36900",M. Fred,"CHDV Distribution: C, D; 4"
ANTH 20420,Anthropology,Anthropology of Olympic Sport,100,"ANTH 30420,MAPS 47501",John J MacAloon,3rd and 4th year undergraduates only
ANTH 20535,Anthropology,The Social Life of Clean Energy,100,,C. Howe,
ANTH 20701,Anthropology,Introduction to African Civilization I,100,"CRES 20701,HIST 10101",E. Osborn,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies.
ANTH 20702,Anthropology,Introduction to African Civilization II,100,"CHDV 21401,CRES 20802,HIST 10102",J. Cole,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies. CHDV Distribution C*.
ANTH 21015,Anthropology,"Media, Culture, and Society",100,,D. Boyer,
ANTH 21102,Anthropology,History and Theory of Human  Evolution,100,"ANTH 38400,EVOL 38400,HIPS 23600",R. Tuttle,
ANTH 21107,Anthropology,Anthropological Theory,100,ANTH 30000,Staff,
ANTH 21201,Anthropology,Chicago Blues,100,CRES 21201,M. Dietler,The course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 21217,Anthropology,The Luo of Kenya,100,AFAM 21217,M. Dietler,
ANTH 21225,Anthropology,Louisiana,100,,S. Dawdy,
ANTH 21230,Anthropology,Intensive Study of a Culture: Lowland Maya History and Ethnography,100,"ANTH 30705,CHDV 20400,CHDV 30401,CRES 20400,LACS 30401,LACS 20400",J. Lucy,CHDV Distribution: C*
ANTH 21251,Anthropology,Modern China,100,ANTH 32200,J. Farquhar,
ANTH 21254,Anthropology,Pirates,100,LACS 21254,S. Dawdy,
ANTH 21255,Anthropology,The Senegambia,100,AFAM 21255,F. Richard,
ANTH 21264,Anthropology,Political Struggles of Highland Asia,100,CRES 21264,J. Kelly,
ANTH 21265,Anthropology,"Celts: Ancient, Modern, and Postmodern",100,,M. Dietler,
ANTH 21269,Anthropology,East Asia before Confucius,100,,A. Yao,
ANTH 21303,Anthropology,Making the Natural World: Foundations of Human Ecology,100,ENST 21301,M. Lycett,ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
ANTH 21307,Anthropology,"Modern Readings in Anthropology: History, Ethnohistory, and  Archaeology",100,,M. Lycett,
ANTH 21322,Anthropology,Modern Readings in Anthropology: Archaeology and History of Food,100,ANTH 46510,K. Morrison,
ANTH 21401,Anthropology,Logic and Practice of Archaeology,100,,M. Lycett,
ANTH 21406,Anthropology,Celebrity and Science in Paleoanthropology,100,"ANTH 38300,HIPS 21100",R. Tuttle,
ANTH 21420,Anthropology,Ethnographic Methods,100,,Staff,
ANTH 21525,Anthropology,"Love, Conjugality, and Capital: Intimacy in the Modern World",100,,"J. Cole, R. Majumdar",This course typically is offered in alternate years.
ANTH 21610,Anthropology,Linguistic Ethnographies,100,,S. Gal,
ANTH 21725,Anthropology,Mass Mediated Society and Japan,100,,M. Fisch,
ANTH 22000,Anthropology,The Anthropology of Development,100,"ANTH 35500,ENST 22000",A. Kolata,
ANTH 22105,Anthropology,The Anthropology of Science,100,"ANTH 32300,HIPS 21301",J. Masco,
ANTH 22123,Anthropology,Science Studies III: Information Age,100,,J. Masco,
ANTH 22125,Anthropology,Introduction to Science Studies,100,,K. Sunder Rajan,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 22130,Anthropology,Anthropology of the Machine,100,,M. Fisch,
ANTH 22150,Anthropology,Mediating the Social,100,,M. Fisch,
ANTH 22205,Anthropology,Slavery and Unfree Labor,100,"ANTH 31700,CRES 22205,LACS 22205,LACS 31700",S. Palmié,
ANTH 22400,Anthropology,Big Science and the Birth of the National Security State,100,"ANTH 34900,HIPS 21200",J. Masco,
ANTH 22530,Anthropology,Ethnographic Film,100,ANTH 32530,J. Chu,
ANTH 22535,Anthropology,Engaging Media: Thinking about Media and Their Audiences,100,ANTH 32535,C. Nakassis,
ANTH 22606,Anthropology,Indigeneities,100,ANTH 33106,J. Richland,
ANTH 22609,Anthropology,Indigenous Methodologies,100,ANTH 33107,J. Richland,
ANTH 22610,Anthropology,Anthropology of Indigeneity,100,"ANTH 33110,CRES 22610,CRES 33110,LACS 22610,LACS 33610",M. Winchell,
ANTH 22710,Anthropology,Signs and the State,100,ANTH 41810,J. Kelly,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 22715,Anthropology,"Weber, Bakhtin, Benjamin",100,ANTH 43720,J. Kelly,
ANTH 22915,Anthropology,The Crowd,100,ANTH 41901,W. Mazzarella,
ANTH 23091,Anthropology,"Progress, Development, and the Future in Latin America",100,"HIST 26117,LACS 26413",P. Palomino,
ANTH 23101,Anthropology,Introduction to Latin American Civilization I,100,"CRES 16101,HIST 16101,HIST 36101,LACS 34600,SOSC 26100,LACS 16100",A. Kolata,
ANTH 23102,Anthropology,Introduction to Latin American Civilization II,100,"CRES 16102,HIST 16102,HIST 36102,LACS 34700,SOSC 26200,LACS 16200",D. Borges,
ANTH 23103,Anthropology,Introduction to Latin American Civilization III,100,"CRES 16103,HIST 16103,HIST 36103,LACS 34800,SOSC 26300,LACS 16300",B. Fischer,
ANTH 23630,Anthropology,China Theorizes the World,100,ANTH 43105,J. Chu,
ANTH 23700,Anthropology,"Capitalism, Colonialism, and Nationalism in the Pacific",100,ANTH 33700,J. Kelly,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 23715,Anthropology,Self-Determination: Theory and Reality,100,ANTH 43715,J. Kelly,This course qualified as a Discovering Anthropology selection for Anthropology majors.
ANTH 23805,Anthropology,Nature/Culture,100,"ANTH 43805,CHSS 32805,HIPS 26203",J. Masco,
ANTH 24001,Anthropology,Colonizations I,100,"CRES 24001,HIST 18301,SOSC 24001",,This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
ANTH 24002,Anthropology,Colonizations II,100,"CRES 24002,HIST 18302,SOSC 24002",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
ANTH 24003,Anthropology,Colonizations III,100,"CRES 24003,HIST 18303,SALC 20702,SOSC 24003",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
ANTH 24101,Anthropology,Introduction to the Civilizations of South Asia I,100,"HIST 10800,SASC 20000,SOSC 23000,SALC 20100",M. Alam,
ANTH 24102,Anthropology,Introduction to the Civilizations of South Asia II,100,"HIST 10900,SASC 20100,SOSC 23100,SALC 20200",D. Chakrabarty,
ANTH 24105,Anthropology,Rethinking the Middle East,100,"PBPL 25105,GLST 24105",Yaqub Hilal,
ANTH 24300,Anthropology,Medicine and Culture,100,"ANTH 40300,GNDR 24300,GNDR 40300,HIPS 27300,RLST 27500",J. Comaroff,
ANTH 24320,Anthropology,Cultural Psychology: Philosophical and Theoretical Foundations,100,"AMER 33000,ANTH 35110,CHDV 31000,GNSE 21001,GNSE 31000,PSYC 23000,PSYC 33000,CHDV 21000",R. Shweder,"CHDV Distribution, B*, C*; 2*, 3*"
ANTH 24330,Anthropology,Medical Anthropology,100,"HIPS 27301,CHDV 23204",E. Raikhel,"CHDV Distribution, C*,D*"
ANTH 24340,Anthropology,Anthropology of the Psyche,100,ANTH 34340,S. Brotherton,
ANTH 24345,Anthropology,"Anthropology and ‘The Good Life’: Ethics, Morality, Well-Being",100,"ANTH 35130,CHDV 32200,MAPS 32200",Francis Mckay,"Upper-level undergrads by consent. Some knowledge of moral philosophy useful, but not necessary to take the course. CHDV Distribution: C*; 3*"
ANTH 24705,Anthropology,Jurisdiction: Language and the Law,100,ANTH 34705,J. Richland,
ANTH 24800,Anthropology,Uncanny Modernities,100,ANTH 54800,J. Masco,
ANTH 24810,Anthropology,Atmospherics,100,,,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 24815,Anthropology,Conspiracy/Theory,100,ANTH 52705,J. Masco,
ANTH 25100,Anthropology,Anthropology of the Body,100,"ANTH 45100,CRES 25112,GNSE 25112,CHDV 25100",S. Brotherton,"CHDV Distribution, D"
ANTH 25117,Anthropology,About Nature: From Science to Sense,100,"GLST 27702,INST 27702",L. Jasarevic,
ANTH 25200,Anthropology,Approaches to Gender in Anthropology,100,"ANTH 43800,GNDR 25201,GNDR 43800",S. Gal,
ANTH 25250,Anthropology,The Human Behind Human Rights,100,HMRT 29002,Y. Hilal,
ANTH 25305,Anthropology,Anthropology of Food and Cuisine,100,ANTH 35305,S. Palmie,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 25325,Anthropology,History and Culture of Baseball,100,ANTH 35325,J. Kelly,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 25440,Anthropology,Maverick Markets: Cultural Economy and Cultural Finance,100,"ANTH 35405,SOCI 30258,SOCI 20258",K. Knorr Cetina,
ANTH 25500,Anthropology,Cultural Politics of Contemporary India,100,"ANTH 42600,SALC 20900,SALC 30900",W. Mazzarella,
ANTH 25900,Anthropology,South Asian Archaeology,100,,K. Morrison,
ANTH 25905,Anthropology,Introduction to the Musical Folklore of Central Asia,100,"EEUR 23400,EEUR 33400,MUSI 23503,MUSI 33503,NEHC 30765,NEHC 20765",K. Arik,
ANTH 25906,Anthropology,Shamans and Oral Poets of Central Asia,100,"NEHC 30766,NEHC 20766",K. Arik,NEHC 20765 and 20766 may be taken in sequence or individually.
ANTH 25908,Anthropology,Balkan Folklore,100,"ANTH 35908,CMLT 23301,CMLT 33301,NEHC 20568,NEHC 30568,REES 39009,REES 29009",A. Ilieva,
ANTH 26020,Anthropology,Archaeology of Modernity,100,ANTH 46020,S. Dawdy,
ANTH 26315,Anthropology,Turning South: The Politics and Practice of Latin American Historical Archaeology,100,"ANTH 36315,LACS 26315,LACS 36315",F. Gaitan-Ammann,
ANTH 26320,Anthropology,Artifacts of the Spanish Colonies,100,"ANTH 36320,LACS 26320,LACS 36320",F. Gaitan-Ammann,
ANTH 26325,Anthropology,Archaeologies of Slavery in the New World,100,"ANTH 36325,CRES 26325,LACS 26325,LACS 36325",F. Gaitan-Ammann,
ANTH 26505,Anthropology,Non-Industrial Agriculture,100,"ANTH 46505,ENST 26505",K. Morrison,
ANTH 26605,Anthropology,Archaeological Experiments in Filmmaking,100,ANTH 36605,"S. Dawdy, D. Zox",Enrollment is by permission of instructor. Class size limit: 15
ANTH 26710,Anthropology,Ancient Landscapes I,100,"NEAA 30061,ANTH 36710,GEOG 25400,GEOG 35400,NEAA 20061",E. Hammer,
ANTH 26711,Anthropology,Ancient Landscapes II,100,"GEOG 25800,GEOG 35800,ANTH 36711,NEAA 20062",E. Hammer,
ANTH 26712,Anthropology,Archaeological Approaches to Settlement and Landscape Survey,100,"ANTH 36712,NEAA 26712,NEAA 36712","A. Yao, E. Hammer",
ANTH 26735,Anthropology,The Pre-History of the Levant,100,NEAA 20310,,
ANTH 26740,Anthropology,Economic Organization of Ancient Complex Societies,100,"ANTH 36740,NEAA 20045,NEAA 30045",G. Stein,
ANTH 26830,Anthropology,Archaeology of Religious Experience,100,,F. Richard,
ANTH 26900,Anthropology,Archaeological Data Sets,100,ANTH 46900,A. Yao,
ANTH 27130,Anthropology,"America: Society, Polity, and Speech Community",100,LING 27130,M. Silverstein,
ANTH 27135,Anthropology,Theories and Practices of Communicating Politically,100,,M. Silverstein,
ANTH 27300,Anthropology,Language Voice and Gender,100,,M. Silverstein,
ANTH 27400,Anthropology,Language/Power/Identity in South East Europe,100,"ANTH 37400,HUMA 27400,LING 27200,SLAV 23000,SLAV 33000,LING 37200",V. Friedman,
ANTH 27430,Anthropology,Linguistic Politics: Language Revitalization,100,LING 27430,S. Gal,
ANTH 27505,Anthropology,Professional Persuasions: The Rhetoric of Expertise in Modern Life,100,LING 27220,S. Gal,
ANTH 27510,Anthropology,Language and Temporality: Ethnographies of Time,100,,S. Gal,
ANTH 27520,Anthropology,Semiotic Approaches to Ethnography,100,,M. Silverstein,"This course qualifies as a ""Discovering Anthropology"" selection for Anthropology majors."
ANTH 27615,Anthropology,Citationality and Performativity,100,,C. Nakassis,
ANTH 27700,Anthropology,Romani Language and Linguistics,100,"ANTH 47900,LING 27810,LING 37810",Victor Friedman,
ANTH 27705,Anthropology,Language and Globalization,100,"ANTH 47905,CRES 27500,CRES 37500,LING 27500,LING 37500",Salikoko Mufwene,
ANTH 28010,Anthropology,Introduction to Biological Anthropology,100,,R. Martin,
ANTH 28100,Anthropology,Evolution of the Hominoidea,200,"ANTH 38100,EVOL 38100,HIPS 24000",R. Tuttle,
ANTH 28200,Anthropology,"Naturalizing Disaster: Nature, Vulnerability, and Social History",100,"ANTH 38220,ENST 26201",M. Lycett and P. Drake,
ANTH 28210,Anthropology,Colonial Ecologies,100,"ANTH 48210,ANTH 38210,ENST 28210,LACS 28210","M. Lycett, K. Morrison",
ANTH 28400,Anthropology,Bioarchaeology and the Human Skeleton,100,"ANTH 38800,BIOS 23247",M. C. Lozada,This course qualifies as a Methodology selection for Anthropology majors.
ANTH 28410,Anthropology,Zooarchaeology,100,,G. Stein,
ANTH 28420,Anthropology,"Death, the Body, and the Ends of Life",100,ANTH 48710,A. Yao,
ANTH 28510,Anthropology,Anthropology of Space/Place/Landscape,100,ANTH 58510,F. Richard,
ANTH 28600,Anthropology,Apes and Human Evolution,100,BIOS 13253,R. Tuttle,
ANTH 28702,Anthropology,Archaeologies of Political Life,100,ANTH 58702,F. Richard,
ANTH 29105,Anthropology,Pollen Analysis,100,,K. Morrison,
ANTH 29500,Anthropology,Archaeology Laboratory Practicum,100,ANTH 59500,"F. Richard, S. Dawdy",This course qualifies as a Methodology selection for Anthropology majors. Undergraduates may take it only once for credit.
ANTH 29700,Anthropology,Readings in Anthropology,100,,,"Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either a quality grade or for P/F grading."
ANTH 29900,Anthropology,Preparation of Bachelor's Essay,100,,,"Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either a quality grade or for P/F grading. For honors requirements, see Honors section under Program Requirements."
ANTH 29910,Anthropology,Bachelor's Essay Seminar,100,,,Open only to students currently writing BA honors papers.
CMSC 10100,Computer Science,Introduction to Programming for the World Wide Web I,100,,W. Sterner,This course does not meet the general education requirement in the mathematical sciences.
CMSC 10200,Computer Science,Introduction to Programming for the World Wide Web II,100,,,"This course meets the general education requirement in the mathematical sciences. May not be taken for credit by students who have credit for CMSC 12100, 15200, or 16200."
CMSC 11000,Computer Science,Multimedia Programming as an Interdisciplinary Art I,100,,W. Sterner,This course meets the general education requirement in the mathematical sciences.
CMSC 11100,Computer Science,Multimedia Programming as an Interdisciplinary Art II,100,,,This course meets the general education requirement in the mathematical sciences.
CMSC 11710,Computer Science,Networks,100,,J. Simon,Necessary mathematical concepts will be presented in class.
CMSC 12100,Computer Science,Computer Science with Applications I,100,,"A. Rogers, B. Sotomayor",This course meets the general education requirement in the mathematical sciences.
CMSC 12200,Computer Science,Computer Science with Applications II,100,,"A. Rogers, M. Wachs",This course meets the general education requirement in the mathematical sciences.
CMSC 12300,Computer Science,Computer Science with Applications III,100,,M. Wachs,
CMSC 15100,Computer Science,Introduction to Computer Science I,100,,"A. Shaw (Aut), M. Wachs (Aut), J. Reppy (Win)",This course meets the general education requirement in the mathematical sciences. Non-majors may use either course in this sequence to meet the general education requirement in the mathematical sciences; students who are majoring in Computer Science must use either CMSC 15100-15200 or 16100-16200 to meet requirements for the major.
CMSC 15200,Computer Science,Introduction to Computer Science II,100,,"A. Shaw (Winter), M. Wachs (Winter)",This course meets the general education requirement in the mathematical sciences. Non-majors may use either course in this sequence to meet the general education requirement in the mathematical sciences; students who are majoring in Computer Science must use either CMSC 15100-15200 or 16100-16200 to meet requirements for the major.
CMSC 15400,Computer Science,Introduction to Computer Systems,100,,"H. Gunawi, H. Hoffmann, M. Wachs",Required of students who are majoring in Computer Science.
CMSC 16100,Computer Science,Honors Introduction to Computer Science I,100,,"R. Chugh, S. Kurtz",This course meets the general education requirement in the mathematical sciences.
CMSC 16200,Computer Science,Honors Introduction to Computer Science II,100,,F. Chong,Students who have taken CMSC 15100 may take 16200 with consent of instructor. This course meets the general education requirement in the mathematical sciences.
CMSC 22001,Computer Science,Software Construction,100,,S. Lu,
CMSC 22010,Computer Science,Digital Fabrication,100,,R. Stevens,
CMSC 22100,Computer Science,Programming Languages,100,,Shaw,
CMSC 22200,Computer Science,Computer Architecture,100,,M. Wachs,
CMSC 22300,Computer Science,Functional Programming,100,,R. Chugh,
CMSC 22311,Computer Science,Functional Systems in Haskell,100,,S. Kurtz,
CMSC 22600,Computer Science,Compilers for Computer Languages,100,,J. Reppy,This course is offered in alternate years.
CMSC 22630,Computer Science,Advanced Implementation of Computer Languages,100,,J. Reppy,
CMSC 23000,Computer Science,Operating Systems,100,,H. Gunawi,
CMSC 23010,Computer Science,Parallel Computing,100,,H. Hoffmann,
CMSC 23200,Computer Science,Introduction to Computer Security,100,,A. Feldman,
CMSC 23300,Computer Science,Networks and Distributed Systems,100,CMSC 33300,B. Sotomayor,
CMSC 23310,Computer Science,Advanced Distributed Systems,100,CMSC 33310,B. Sotomayor,
CMSC 23400,Computer Science,Mobile Computing,100,,A. Chien,
CMSC 23500,Computer Science,Introduction to Database Systems,100,,A. Elmore,
CMSC 23700,Computer Science,Introduction to Computer Graphics,100,,J. Reppy,This course is offered in alternate years.
CMSC 23710,Computer Science,Scientific Visualization,100,,G. Kindlmann,
CMSC 23800,Computer Science,Game Construction,100,CSPP 53800,J. Reppy,
CMSC 23900,Computer Science,Data Visualization,100,,G. Kindlmann,
CMSC 25020,Computer Science,Computational Linguistics,100,"CMSC 35050,LING 28600,LING 38600",J. Goldsmith,
CMSC 25025,Computer Science,Machine Learning and Large-Scale Data Analysis,100,STAT 37601,J. Lafferty,The prerequisites are under review and may change.
CMSC 25400,Computer Science,Machine Learning,100,STAT 27725,R. Kondor,
CMSC 27100,Computer Science,Discrete Mathematics,100,,"A. Razborov, J. Simon",This is a directed course in mathematical topics and techniques that is a prerequisite for courses such as CMSC 27200 and 27400.
CMSC 27130,Computer Science,Honors Discrete Mathematics,100,,A. Razborov,
CMSC 27200,Computer Science,Theory of Algorithms,100,,"A. Drucker, J. Simon",
CMSC 27230,Computer Science,Honors Theory of Algorithms,100,,A. Drucker,
CMSC 27410,Computer Science,Honors Combinatorics,100,,L. Babai,This course is offered in alternate years.
CMSC 27500,Computer Science,Graph Theory,100,,K. Mulmuley,
CMSC 27610,Computer Science,Digital Biology,100,,L. R. Scott,High school chemistry is helpful.
CMSC 27700,Computer Science,Mathematical Logic I,100,MATH 27700,,
CMSC 27800,Computer Science,Mathematical Logic II,100,MATH 27800,,
CMSC 28000,Computer Science,Introduction to Formal Languages,100,MATH 28000,S. Kurtz,
CMSC 28100,Computer Science,Introduction to Complexity Theory,100,MATH 28100,K. Mulmuley,
CMSC 28501,Computer Science,Topics in Scientific Computing,100,,,
CMSC 29700,Computer Science,Reading and Research in Computer Science,100,,,Open both to students who are majoring in Computer Science and to nonmajors. Students are required to submit the College Reading and Research Course Form.
CMSC 29900,Computer Science,Bachelor's Thesis,100,,,Open to fourth-year students who are candidates for honors in Computer Science
GEOG 20000,Geographical Studies,Orientation Seminar,100,,M. Mikesell,Open to current and prospective geographical studies majors; open to nonmajors with consent of instructor
GEOG 20100,Geographical Studies,Cultural Geography,100,"ENST 25900,GEOG 30100",M. Mikesell,
GEOG 20500,Geographical Studies,Introduction to Spatial Data Science,100,"SOCI 30253,MACS 54000,SOCI 20253",L. Anselin,
GEOG 21900,Geographical Studies,Historical Geography of the United States,100,"GEOG 31900,HIST 28800,HIST 38800",M. Conzen,This course offered in even years.
GEOG 22100,Geographical Studies,Changing America in the Twentieth Century,100,"GEOG 32100,HIST 27506,HIST 37506",M. Conzen,This course offered odd years.
GEOG 22700,Geographical Studies,Urban Structure and Process,100,"CRES 20104,GEOG 32700,SOCI 30104,SOSC 25100,SOCI 20104",F. Stuart,
GEOG 23500,Geographical Studies,Urban Geography,100,GEOG 33500,M. Conzen,This course offered in even years.
GEOG 23700,Geographical Studies,Placing Chicago: Geographical Perspectives on a Global City,100,,M. Conzen,
GEOG 24000,Geographical Studies,Chicago Neighborhoods,100,"GEOG 34000,SOSC 36000,PBPL 24000,SOSC 26000",E. Talen,
GEOG 24100,Geographical Studies,Urban Design: The Chicago Experience,100,"PBPL 24100,SOSC 26001",E. Talen,
GEOG 24200,Geographical Studies,Urban Design Studio,100,"SOSC 36002,GEOG 34200,PBPL 26002,SOSC 26002",E. Talen,
GEOG 25300,Geographical Studies,Seminar: Problems in the Human Geography of the Middle East,100,,M. Mikesell,
GEOG 25400,Geographical Studies,Ancient Landscapes I,100,"NEAA 30061,ANTH 36710,GEOG 35400,ANTH 26710,NEAA 20061",E. Hammer,
GEOG 25500,Geographical Studies,Biogeography,100,"ENST 25500,EVOL 45500,GEOG 35500,BIOS 23406","B. Patterson (odd years, lab). L., Heaney (even years, discussion)",
GEOG 25800,Geographical Studies,Ancient Landscapes II,100,"ANTH 26711,GEOG 35800,ANTH 36711,NEAA 20062",E. Hammer,
GEOG 26100,Geographical Studies,Roots of the Modern American City,100,"ENST 26100,GEOG 36100,HIST 28900,HIST 38900",M. Conzen,This course offered in odd years.
GEOG 26600,Geographical Studies,Economics of Urban Policies,100,"GEOG 36600,LLSO 26202,PBPL 24500,ECON 26600","G. Tolley, K. Ierulli",
GEOG 26800,Geographical Studies,Geography Issues in Housing and Community Development,100,GEOG 36800,C. Barlow,
GEOG 26900,Geographical Studies,Understanding community: Civic Engagement and Public Policy,100,"GEOG 36900,PBPL 27800",C. Barlow,
GEOG 28201,Geographical Studies,Intro to Geographic Information Systems,100,GEOG 38201,T. Schuble,Graduate students will be allowed to enroll for section 2
GEOG 28400,Geographical Studies,Intermediate GIS,100,GEOG 38400,R. Greene,
GEOG 28600,Geographical Studies,Advanced GIS Analysis,100,,T. Schuble,
GEOG 28800,Geographical Studies,History of Cartography,100,GEOG 38800,G. Danzer,
GEOG 29100,Geographical Studies,Undergraduate Tutorial,100,,,Available for either quality grades or for P/F grading.
GEOG 29300,Geographical Studies,Readings in Geographic Literature in French,100,,M. Mikesell,Available for either quality grades or for P/F grading.
GEOG 29400,Geographical Studies,Readings in Nature and Culture,100,,M. Mikesell,
GEOG 29500,Geographical Studies,Readings in Culture and Nationality,100,,M. Mikesell,
GEOG 29700,Geographical Studies,Readings in Special Topics in Geography,100,,,Students are required to submit the College Reading and Research Course Form. Must be taken for a quality grade.
GEOG 29800,Geographical Studies,Senior Seminar,100,,M. Conzen,Must be taken for a quality grade.
PBPL 20000,Public Policy Studies,Economics for Public Policy,100,,"S. Shaikh, Staff",PBPL 20000 or ECON 20000 is required of all students who are majoring in public policy. PBPL 20000 satisfies the ECON 20000 prerequisite for PBPL 22200. Students who have taken ECON 20000 require the instructor's consent to enroll in PBPL 20000.
PBPL 20305,Public Policy Studies,Inequality in Urban Spaces,100,"CHDV 40315,CRES 20305,CHDV 20305",M. Keels,"CHDV Distribution, B*; 2*"
PBPL 21800,Public Policy Studies,Economics and Environmental Policy,100,"LLSO 26201,ENST 21800",S. Shaikh,
PBPL 22100,Public Policy Studies,Politics and Policy,100,,C. Berry,Public Policy 22100-22200-22300 may be taken in any order.
PBPL 22200,Public Policy Studies,Public Policy Analysis,100,,J. Leitzel,PBPL 22100-22200-22300 may be taken in any order. PBPL 22200 is not intended for students majoring in public policy who are planning to specialize in economics or to take advanced economics courses; those students should meet with the program director or administrator to arrange an alternative.
PBPL 22300,Public Policy Studies,Policy Implementation,100,,C. Broughton; A. Hammond,PBPL 22100-22200-22300 may be taken in any order.
PBPL 23000,Public Policy Studies,Organizational Analysis,100,"SOCI 30101,SOCI 20101",E. Laumann,
