,course_title,course_unit,equivalent_courses,instructors,notes
LLSO 22403,Free Speech and the First Amendment,100,,Geoffrey Stone,
LLSO 22612,Introduction to Political Philosophy,100,"GNSE 21601,PLSC 22600,PHIL 21600",B. Laurence,Students should register via discussion section.
LLSO 22710,Electoral Politics in America,100,PLSC 22710,M. Hansen,
LLSO 23100,Environmental Law,100,"ENST 23100,PBPL 23100",R. Lodato,
LLSO 23415,Emergence of Capitalism,100,"PLSC 32815,HIST 23304,HIST 33304,PLSC 23415",W. Sewell,
LLSO 23900,Introduction to Constitutional Law,100,"PLSC 48800,PLSC 28800",G. Rosenberg,
LLSO 24000,Civil Rights/Civil Liberties,100,PLSC 29200,G. Rosenberg,
LLSO 24200,Legal Reasoning,100,,D. Hutchinson,
LLSO 24300,American Law and the Rhetoric of Race,100,"LAWS 59800,LAWS 49801",D. Hutchinson,
LLSO 24711,"Lincoln: Slavery, War, and the Constitution",100,"FNDL 24711,HIST 27102",D. Hutchinson,
LLSO 24805,Legitimacy and Political Institutions,100,PLSC 24805,J. Patty,
LLSO 24901,U.S. Environmental Policy,100,"ENST 24701,PBPL 24701",R. Lodato,
LLSO 25215,The American Presidency,100,"PLSC 35215,PLSC 25215",W. Howell,
LLSO 25411,Not Just the Facts: Telling About the American South,100,"AMER 27006,HIST 27006",J. Dailey,
LLSO 25610,"Authority, Obligation, and Dissent",100,PLSC 25610,S. Muthu,
LLSO 25903,Liberalism and Empire,100,"HMRT 23010,PLSC 33010,PLSC 23010",J. Pitts,
LLSO 26000,"Law and Society in Early America, 1600–1800",100,"HIST 37001,HIST 27001",E. Cook,
LLSO 26201,Economics and Environmental Policy,100,"PBPL 21800,ENST 21800",S. Shaikh,
LLSO 26202,Economics of Urban Policies,100,"GEOG 26600,GEOG 36600,PBPL 24500,ECON 26600","G. Tolley, K. Ierulli",
LLSO 26703,Political Parties in the United States,100,PLSC 26703,R. Bloch Rubin,
LLSO 26804,"Insurgency, Terrorism, and Civil War",100,PLSC 26800,P. Staniland,
LLSO 27306,US Women and Gender,100,"HMRT 27306,CRES 23700,GNSE 27306,HIST 27306",A. Stanley,
LLSO 27950,The Declaration of Independence,100,"FNDL 27950,HIST 17604,HMRT 17950,ENGL 17950",E. Slauter,
LLSO 28203,Writing Speeches: Reagan and Obama,100,"CRWR 26405,ENGL 11404",L. McEnerney,
LLSO 28710,Democracy and the Politics of Wealth Redistribution,100,PLSC 28710,M. Albertus,
LLSO 28712,Civil Rights Movement,100,"HIST 37406,CRES 27406,CRES 37406,HIST 27406",T. Holt,
LLSO 29050,Youth Law and Policy: Child Welfare and Juv. Just. in the U.S,100,"HMRT 29050,PBPL 29050",Andrew Hammond,
LLSO 29400,Research Seminar,100,,D. Hutchinson,
SOSC 02980,Practicum,025,HUMA 02980,D. Spatz,Must be taken for P/F grading; students who fail to complete the course requirements will receive an F on their transcript (no W will be granted). Students receive 025 units of credit at completion of course. Course meets once in Spring Quarter and once in Autumn Quarter. Course fee $150; students in need of financial aid should contact Jay Ellison at 702.8609.
SOSC 11100,"Power, Identity, and Resistance I",100,,"G. Herrigel, Staff",
SOSC 11200,"Power, Identity, and Resistance II",100,,"G. Herrigel, Staff",
SOSC 11300,"Power, Identity, and Resistance III",100,,"G. Herrigel, Staff",
SOSC 12100,"Self, Culture, and Society I",100,,Staff,
SOSC 12200,"Self, Culture, and Society II",100,,Staff,
SOSC 12300,"Self, Culture, and Society III",100,,Staff,
SOSC 13100,Social Science Inquiry I,100,,"E. Oliver, Staff",
SOSC 13200,Social Science Inquiry II,100,,"E. Oliver, Staff",
SOSC 13300,Social Science Inquiry III,100,,"E. Oliver, Staff",
SOSC 14100,Mind I,100,,"D. Gallo, Staff",
SOSC 14200,Mind II,100,,"D. Gallo, Staff",
SOSC 14300,Mind III,100,,"D. Gallo, Staff",
SOSC 15100,Classics of Social and Political Thought I,100,,"N. Tarcov, Staff",
SOSC 15200,Classics of Social and Political Thought II,100,,"S. Muthu, Staff",
SOSC 15300,Classics of Social and Political Thought III,100,,"J. Pitts, Staff",
SOSC 21100,Music in Western Civilization I: To 1750,100,"HIST 12700,MUSI 12100",A. Robertson,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
SOSC 21200,Music in Western Civilization II: 1750 to the Present,100,"HIST 12800,MUSI 12200",,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
SOSC 22000,Islamic Thought and Literature I,100,"NEHC 30601,RLST 20401,HIST 25610,HIST 35610,ISLM 30601,NEHC 20601",A. El Shamsy,
SOSC 22100,Islamic Thought and Literature II,100,"NEHC 30602,RLST 20402,ISLM 30602,CMES 30602,NEHC 20602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
SOSC 22200,Islamic Thought and Literature III,100,"NEHC 30603,RLST 20403,NEHC 20603",A. El Shamsy,This course does not apply to the medieval studies major or minor.
SOSC 23000,Introduction to the Civilizations of South Asia I,100,"ANTH 24101,HIST 10800,SASC 20000,SALC 20100",M. Alam,
SOSC 23100,Introduction to the Civilizations of South Asia II,100,"ANTH 24102,HIST 10900,SASC 20100,SALC 20200",D. Chakrabarty,
SOSC 23500,Introduction to the Civilizations of East Asia I,100,"CRES 10800,EALC 10800,HIST 15100",G. Alitto,Taking these courses in sequence is not required.
SOSC 23600,Introduction to the Civilizations of East Asia II,100,"CRES 10900,EALC 10900,HIST 15200",J. Ketelaar,Taking these courses in sequence is not required.
SOSC 23700,Introduction to the Civilizations of East Asia III,100,"CRES 11000,EALC 11000,HIST 15300",B. Cumings,Taking these courses in sequence is not required.
SOSC 24000,Introduction to Russian Civilization I,100,"REES 26011,HIST 13900","E. Gilburd, W. Nickell",Taking these courses in sequence is recommended but not required.
SOSC 24001,Colonizations I,100,"CRES 24001,ANTH 24001,HIST 18301",,This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
SOSC 24002,Colonizations II,100,"CRES 24002,ANTH 24002,HIST 18302",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
SOSC 24003,Colonizations III,100,"CRES 24003,ANTH 24003,HIST 18303,SALC 20702",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
SOSC 24100,Introduction to Russian Civilization II,100,"REES 26012,HIST 14000","R. Bird, E. Gilburd",Taking these courses in sequence is recommended but not required.
SOSC 25100,Urban Structure and Process,100,"CRES 20104,GEOG 22700,GEOG 32700,SOCI 30104,SOCI 20104",F. Stuart,
SOSC 26100,Introduction to Latin American Civilization I,100,"ANTH 23101,CRES 16101,HIST 16101,HIST 36101,LACS 34600,LACS 16100",A. Kolata,
SOSC 26200,Introduction to Latin American Civilization II,100,"ANTH 23102,CRES 16102,HIST 16102,HIST 36102,LACS 34700,LACS 16200",D. Borges,
SOSC 26300,Introduction to Latin American Civilization III,100,"ANTH 23103,CRES 16103,HIST 16103,HIST 36103,LACS 34800,LACS 16300",B. Fischer,
SOSC 26900,The Complex Problem of World Hunger,100,"BPRO 24800,ENST 24800,BIOS 02810",J. Malamy,This course does not meet requirements for the biological sciences major.
SOSC 29500,Readings in Social Sciences in a Foreign Language,100,,,
SOSC 29700,Independent Study in the Social Sciences,100,,,Students are required to submit the College Reading and Research Course Form.
SOSC 29900,BA Paper in Russian Civilization,100,,,Students are required to submit the College Reading and Research Course Form.
SOSC 34500,Anthropology of Museums I,100,"ANTH 34502,CRES 34501,MAPS 34500,CHDV 34501,ANTH 24511",M. Fred,CHDV Distribution: C
SOSC 34600,Anthropology of Museums II,100,"CRES 34502,ANTH 24512",M. Fred,
SOSC 39000,Anthropology of Disability,100,,M. Fred,
HMRT 10100,Human Rights in World Civilizations I,100,,M. Bradley and S. Thakkar,This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence.
HMRT 10200,Human Rights in World Civilizations II,100,,B. Laurence and Staff,This sequence meets the general education requirement in civilization studies. These courses must be taken in sequence; students must have taken HMRT 10100 to enroll in this course.
HMRT 20100,Human Rights: Philosophical Foundations,100,"HMRT 30100,PHIL 21700,PHIL 31600,HIST 29301,HIST 39301,INRE 31600,LAWS 41200,MAPH 40000,LLSO 25100",B. Laurence,
HMRT 20101,Human Rights in Vienna: Philosophical Fnds. of Human Rights,100,,D. Brudney,
HMRT 20116,Global-Local Politics,100,"HMRT 30116,PBPL 27900,SOCI 30116,LLSO 20116,SOCI 20116",T. Clark,
HMRT 20200,Human Rights: History and Theory,100,"CRES 29302,HIST 29302,HIST 39302,HMRT 30200,INRE 31700,LAWS 41301,LLSO 27100",Staff,
HMRT 20201,Human Rights in Vienna: History and Human Rights,100,,T. Zahra,
HMRT 20300,Human Rights: Contemporary Issues and Concepts,100,"HIST 29303,HIST 39303,HMRT 30300,INRE 31800,LAWS 78201,LLSO 27200",S. Gzesh,
HMRT 20301,Human Rights in Vienna: Contemporary Issues in Human Rights,100,,S. Gzesh,
HMRT 21400,Health and Human Rights,100,"MEDC 60405,LLSO 21400,CHDV 21400","R. Sherer, E. Lyon",
HMRT 23301,History of Humanitarian Intervention,100,"HIST 32117,HMRT 33001,LLSO 23402,HIST 22117",M. Geyer,
HMRT 23302,Humanitarianism: History and Theory,100,"HIST 33512,HMRT 33002,LLSO 23114,HIST 23512",M. Geyer,
HMRT 24501,Human Rights in Mexico,100,"HIST 29408,HIST 39408,HMRT 34501,LACS 24501,LACS 34501",S. Gzesh,
HMRT 24701,Human Rights: Alien and Citizen,100,"LACS 25303,LAWS 62401",S. Gzesh,
HMRT 25210,Anthropology of Disability,100,"ANTH 20405,ANTH 30405,CHDV 30405,HMRT 35210,SOSC 36900,CHDV 20505,MAPS 36900",M. Fred,"CHDV Distribution: C, D; 4"
HMRT 26150,Human Dignity,100,"HMRT 36150,INRE 36150,PHIL 21625,PHIL 31625",A. Etinson,
HMRT 26151,Human Rights and Human Diversity,100,"HMRT 36151,PHIL 21701,PHIL 31621,MAPH 36151,CRES 26151,CRES 36151,GNSE 26151,GNSE 36151,CHSS 36151,HIPS 26151,LLSO 26151",A. Etinson,
HMRT 27061,United States Legal History,100,"AMER 27605,CRES 27605,GNSE 27605,LLSO 28010,HIST 37605,CRES 37605,GNSE 37605,HMRT 37605,HIST 27605",A. Stanley,
HMRT 27306,US Women and Gender,100,"LLSO 27306,CRES 23700,GNSE 27306,HIST 27306",A. Stanley,
HMRT 28310,Vulnerability and Human Rights,100,"HMRT 38310,CHDV 26310",D. Kulick,
HMRT 28602,Health Care and the Limits of State Action,100,"BPRO 28600,CMLT 28900,BIOS 29323","E. Lyon, H. Saussy",
HMRT 29120,Poverty Law and Policy Reform,100,PBPL 29120,"Hammond, A.",
PHSC 10100,Origin and Evolution of the Solar System and the Earth,100,,A. Davis,
PHSC 10800,Earth as a Planet:  Exploring Our Place in the Universe,100,,F. Ciesla,
PHSC 10900,Ice-Age Earth,100,,D. Rowley,
PHSC 11000,Environmental History of the Earth,100,,M. Webster; S. Kidwell,
PHSC 11100,Modern Physics I:  Modern Physics in the Everyday World,100,,,Must be taken with either PHSC 11200 or PHSC 11300
PHSC 11200,Modern Physics II:  Paradoxes in Modern Physics,100,,,Must be taken with PHSC 11100
PHSC 11300,Everyday Physics,100,,,
PHSC 11400,Development of Life on Earth,100,,,
PHSC 11500,Extraterrestrial Life,100,,,
PHSC 11902,The Secret Lives of Stars,100,,,"This course fulfills the general education requirement in physical sciences for non-majors. As of Fall of 2015, PHSC 11900, 11902 and 12000 will no longer be offered.  Students who have taken 11902 but have not taken 12000 may complete a two-quarter Physical Sciences requirement by taking PHSC 12600, 12610, 12710 or 12720, although 12710 is recommended as the best fit with 11902 among these options. This course may not be combined with PHSC 11900."
PHSC 12400,The Chemistry of Big Problems,100,,Y. Krishnan,
PHSC 12500,Molecular Mechanisms of Human Disease,100,,G. Engel,
PHSC 12600,"Matter, Energy, Space, and Time",100,ASTR 12600,S. Meyer,
PHSC 12610,Black Holes,100,ASTR 12610,E. Shirokoff,
PHSC 12620,The Big Bang,100,ASTR 12620,W. Freedman/E. Kolb,
PHSC 12700,Stars,100,ASTR 12700,D. Fabrycky,
PHSC 12710,Galaxies,100,ASTR 12710,M. Gladders,
PHSC 12720,Exoplanets,100,ASTR 12720,J. Bean,
PHSC 12800,European Astronomy and Astrophysics,100,,A. Olinto,This course is offered only in Paris in Spring Quarter.
PHSC 13400,Global Warming: Understanding the Forecast,100,"ENST 12300,GEOS 13400,ENSC 13400","D. Archer, D. MacAyeal",
PHSC 13500,Chemistry and the Atmosphere,100,ENST 12100,,As of Fall 2015 this course will no longer be offered.
PHSC 13600,Natural Hazards,100,,N. Nakamura,
PHSC 18100,The Milky Way,100,ASTR 18100,N. Gnedin,
PHSC 18200,The Origin and Evolution of the Universe,100,ASTR 18200,M. Turner,
PHSC 18300,Searching Between the Stars,100,ASTR 18300,D. Harper,
PHSC 18500,The Lives and Deaths of Stars,100,ASTR 18500,,
ANTH 20001,Empire and Nation: Varieties of National Experience,100,,S. Gal,"This course qualifies as a ""Discovering Anthropology"" selection for Anthropology majors."
ANTH 20002,"Discovering Anthropology: Culture, Technology, Mediation",100,,M. Fisch,
ANTH 20003,Discovering Anthropology: Reading Race,100,"CRES 20003,HIPS 20003,ANTH 38305",R. Tuttle,
ANTH 20004,Trash: An Introduction to Archaeological Thought,100,,S. Dawdy,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 20100,The Inka and Aztec States,100,"ANTH 40100,LACS 20100,LACS 40305",A. Kolata,
ANTH 20405,Anthropology of Disability,100,"ANTH 30405,CHDV 30405,HMRT 25210,HMRT 35210,SOSC 36900,CHDV 20505,MAPS 36900",M. Fred,"CHDV Distribution: C, D; 4"
ANTH 20420,Anthropology of Olympic Sport,100,"ANTH 30420,MAPS 47501",John J MacAloon,3rd and 4th year undergraduates only
ANTH 20535,The Social Life of Clean Energy,100,,C. Howe,
ANTH 20701,Introduction to African Civilization I,100,"CRES 20701,HIST 10101",E. Osborn,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies.
ANTH 20702,Introduction to African Civilization II,100,"CHDV 21401,CRES 20802,HIST 10102",J. Cole,Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies. CHDV Distribution C*.
ANTH 21015,"Media, Culture, and Society",100,,D. Boyer,
ANTH 21102,History and Theory of Human  Evolution,100,"ANTH 38400,EVOL 38400,HIPS 23600",R. Tuttle,
ANTH 21107,Anthropological Theory,100,ANTH 30000,Staff,
ANTH 21201,Chicago Blues,100,CRES 21201,M. Dietler,The course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 21217,The Luo of Kenya,100,AFAM 21217,M. Dietler,
ANTH 21225,Louisiana,100,,S. Dawdy,
ANTH 21230,Intensive Study of a Culture: Lowland Maya History and Ethnography,100,"ANTH 30705,CHDV 20400,CHDV 30401,CRES 20400,LACS 30401,LACS 20400",J. Lucy,CHDV Distribution: C*
ANTH 21251,Modern China,100,ANTH 32200,J. Farquhar,
ANTH 21254,Pirates,100,LACS 21254,S. Dawdy,
ANTH 21255,The Senegambia,100,AFAM 21255,F. Richard,
ANTH 21264,Political Struggles of Highland Asia,100,CRES 21264,J. Kelly,
ANTH 21265,"Celts: Ancient, Modern, and Postmodern",100,,M. Dietler,
ANTH 21269,East Asia before Confucius,100,,A. Yao,
ANTH 21303,Making the Natural World: Foundations of Human Ecology,100,ENST 21301,M. Lycett,ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
ANTH 21307,"Modern Readings in Anthropology: History, Ethnohistory, and  Archaeology",100,,M. Lycett,
ANTH 21322,Modern Readings in Anthropology: Archaeology and History of Food,100,ANTH 46510,K. Morrison,
ANTH 21401,Logic and Practice of Archaeology,100,,M. Lycett,
ANTH 21406,Celebrity and Science in Paleoanthropology,100,"ANTH 38300,HIPS 21100",R. Tuttle,
ANTH 21420,Ethnographic Methods,100,,Staff,
ANTH 21525,"Love, Conjugality, and Capital: Intimacy in the Modern World",100,,"J. Cole, R. Majumdar",This course typically is offered in alternate years.
ANTH 21610,Linguistic Ethnographies,100,,S. Gal,
ANTH 21725,Mass Mediated Society and Japan,100,,M. Fisch,
ANTH 22000,The Anthropology of Development,100,"ANTH 35500,ENST 22000",A. Kolata,
ANTH 22105,The Anthropology of Science,100,"ANTH 32300,HIPS 21301",J. Masco,
ANTH 22123,Science Studies III: Information Age,100,,J. Masco,
ANTH 22125,Introduction to Science Studies,100,,K. Sunder Rajan,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 22130,Anthropology of the Machine,100,,M. Fisch,
ANTH 22150,Mediating the Social,100,,M. Fisch,
ANTH 22205,Slavery and Unfree Labor,100,"ANTH 31700,CRES 22205,LACS 22205,LACS 31700",S. Palmié,
ANTH 22400,Big Science and the Birth of the National Security State,100,"ANTH 34900,HIPS 21200",J. Masco,
ANTH 22530,Ethnographic Film,100,ANTH 32530,J. Chu,
ANTH 22535,Engaging Media: Thinking about Media and Their Audiences,100,ANTH 32535,C. Nakassis,
ANTH 22606,Indigeneities,100,ANTH 33106,J. Richland,
ANTH 22609,Indigenous Methodologies,100,ANTH 33107,J. Richland,
ANTH 22610,Anthropology of Indigeneity,100,"ANTH 33110,CRES 22610,CRES 33110,LACS 22610,LACS 33610",M. Winchell,
ANTH 22710,Signs and the State,100,ANTH 41810,J. Kelly,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 22715,"Weber, Bakhtin, Benjamin",100,ANTH 43720,J. Kelly,
ANTH 22915,The Crowd,100,ANTH 41901,W. Mazzarella,
ANTH 23091,"Progress, Development, and the Future in Latin America",100,"HIST 26117,LACS 26413",P. Palomino,
ANTH 23101,Introduction to Latin American Civilization I,100,"CRES 16101,HIST 16101,HIST 36101,LACS 34600,SOSC 26100,LACS 16100",A. Kolata,
ANTH 23102,Introduction to Latin American Civilization II,100,"CRES 16102,HIST 16102,HIST 36102,LACS 34700,SOSC 26200,LACS 16200",D. Borges,
ANTH 23103,Introduction to Latin American Civilization III,100,"CRES 16103,HIST 16103,HIST 36103,LACS 34800,SOSC 26300,LACS 16300",B. Fischer,
ANTH 23630,China Theorizes the World,100,ANTH 43105,J. Chu,
ANTH 23700,"Capitalism, Colonialism, and Nationalism in the Pacific",100,ANTH 33700,J. Kelly,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 23715,Self-Determination: Theory and Reality,100,ANTH 43715,J. Kelly,This course qualified as a Discovering Anthropology selection for Anthropology majors.
ANTH 23805,Nature/Culture,100,"ANTH 43805,CHSS 32805,HIPS 26203",J. Masco,
ANTH 24001,Colonizations I,100,"CRES 24001,HIST 18301,SOSC 24001",,This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.
ANTH 24002,Colonizations II,100,"CRES 24002,HIST 18302,SOSC 24002",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
ANTH 24003,Colonizations III,100,"CRES 24003,HIST 18303,SALC 20702,SOSC 24003",,This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.
ANTH 24101,Introduction to the Civilizations of South Asia I,100,"HIST 10800,SASC 20000,SOSC 23000,SALC 20100",M. Alam,
ANTH 24102,Introduction to the Civilizations of South Asia II,100,"HIST 10900,SASC 20100,SOSC 23100,SALC 20200",D. Chakrabarty,
ANTH 24105,Rethinking the Middle East,100,"PBPL 25105,GLST 24105",Yaqub Hilal,
ANTH 24300,Medicine and Culture,100,"ANTH 40300,GNDR 24300,GNDR 40300,HIPS 27300,RLST 27500",J. Comaroff,
ANTH 24320,Cultural Psychology: Philosophical and Theoretical Foundations,100,"AMER 33000,ANTH 35110,CHDV 31000,GNSE 21001,GNSE 31000,PSYC 23000,PSYC 33000,CHDV 21000",R. Shweder,"CHDV Distribution, B*, C*; 2*, 3*"
ANTH 24330,Medical Anthropology,100,"HIPS 27301,CHDV 23204",E. Raikhel,"CHDV Distribution, C*,D*"
ANTH 24340,Anthropology of the Psyche,100,ANTH 34340,S. Brotherton,
ANTH 24345,"Anthropology and ‘The Good Life’: Ethics, Morality, Well-Being",100,"ANTH 35130,CHDV 32200,MAPS 32200",Francis Mckay,"Upper-level undergrads by consent. Some knowledge of moral philosophy useful, but not necessary to take the course. CHDV Distribution: C*; 3*"
ANTH 24705,Jurisdiction: Language and the Law,100,ANTH 34705,J. Richland,
ANTH 24800,Uncanny Modernities,100,ANTH 54800,J. Masco,
ANTH 24810,Atmospherics,100,,,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 24815,Conspiracy/Theory,100,ANTH 52705,J. Masco,
ANTH 25100,Anthropology of the Body,100,"ANTH 45100,CRES 25112,GNSE 25112,CHDV 25100",S. Brotherton,"CHDV Distribution, D"
ANTH 25117,About Nature: From Science to Sense,100,"GLST 27702,INST 27702",L. Jasarevic,
ANTH 25200,Approaches to Gender in Anthropology,100,"ANTH 43800,GNDR 25201,GNDR 43800",S. Gal,
ANTH 25250,The Human Behind Human Rights,100,HMRT 29002,Y. Hilal,
ANTH 25305,Anthropology of Food and Cuisine,100,ANTH 35305,S. Palmie,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 25325,History and Culture of Baseball,100,ANTH 35325,J. Kelly,This course qualifies as a Discovering Anthropology selection for Anthropology majors.
ANTH 25440,Maverick Markets: Cultural Economy and Cultural Finance,100,"ANTH 35405,SOCI 30258,SOCI 20258",K. Knorr Cetina,
ANTH 25500,Cultural Politics of Contemporary India,100,"ANTH 42600,SALC 20900,SALC 30900",W. Mazzarella,
ANTH 25900,South Asian Archaeology,100,,K. Morrison,
ANTH 25905,Introduction to the Musical Folklore of Central Asia,100,"EEUR 23400,EEUR 33400,MUSI 23503,MUSI 33503,NEHC 30765,NEHC 20765",K. Arik,
ANTH 25906,Shamans and Oral Poets of Central Asia,100,"NEHC 30766,NEHC 20766",K. Arik,NEHC 20765 and 20766 may be taken in sequence or individually.
ANTH 25908,Balkan Folklore,100,"ANTH 35908,CMLT 23301,CMLT 33301,NEHC 20568,NEHC 30568,REES 39009,REES 29009",A. Ilieva,
ANTH 26020,Archaeology of Modernity,100,ANTH 46020,S. Dawdy,
ANTH 26315,Turning South: The Politics and Practice of Latin American Historical Archaeology,100,"ANTH 36315,LACS 26315,LACS 36315",F. Gaitan-Ammann,
ANTH 26320,Artifacts of the Spanish Colonies,100,"ANTH 36320,LACS 26320,LACS 36320",F. Gaitan-Ammann,
ANTH 26325,Archaeologies of Slavery in the New World,100,"ANTH 36325,CRES 26325,LACS 26325,LACS 36325",F. Gaitan-Ammann,
ANTH 26505,Non-Industrial Agriculture,100,"ANTH 46505,ENST 26505",K. Morrison,
ANTH 26605,Archaeological Experiments in Filmmaking,100,ANTH 36605,"S. Dawdy, D. Zox",Enrollment is by permission of instructor. Class size limit: 15
ANTH 26710,Ancient Landscapes I,100,"NEAA 30061,ANTH 36710,GEOG 25400,GEOG 35400,NEAA 20061",E. Hammer,
ANTH 26711,Ancient Landscapes II,100,"GEOG 25800,GEOG 35800,ANTH 36711,NEAA 20062",E. Hammer,
ANTH 26712,Archaeological Approaches to Settlement and Landscape Survey,100,"ANTH 36712,NEAA 26712,NEAA 36712","A. Yao, E. Hammer",
ANTH 26735,The Pre-History of the Levant,100,NEAA 20310,,
ANTH 26740,Economic Organization of Ancient Complex Societies,100,"ANTH 36740,NEAA 20045,NEAA 30045",G. Stein,
ANTH 26830,Archaeology of Religious Experience,100,,F. Richard,
ANTH 26900,Archaeological Data Sets,100,ANTH 46900,A. Yao,
ANTH 27130,"America: Society, Polity, and Speech Community",100,LING 27130,M. Silverstein,
ANTH 27135,Theories and Practices of Communicating Politically,100,,M. Silverstein,
ANTH 27300,Language Voice and Gender,100,,M. Silverstein,
ANTH 27400,Language/Power/Identity in South East Europe,100,"ANTH 37400,HUMA 27400,LING 27200,SLAV 23000,SLAV 33000,LING 37200",V. Friedman,
ANTH 27430,Linguistic Politics: Language Revitalization,100,LING 27430,S. Gal,
ANTH 27505,Professional Persuasions: The Rhetoric of Expertise in Modern Life,100,LING 27220,S. Gal,
ANTH 27510,Language and Temporality: Ethnographies of Time,100,,S. Gal,
ANTH 27520,Semiotic Approaches to Ethnography,100,,M. Silverstein,"This course qualifies as a ""Discovering Anthropology"" selection for Anthropology majors."
ANTH 27615,Citationality and Performativity,100,,C. Nakassis,
ANTH 27700,Romani Language and Linguistics,100,"ANTH 47900,LING 27810,LING 37810",Victor Friedman,
ANTH 27705,Language and Globalization,100,"ANTH 47905,CRES 27500,CRES 37500,LING 27500,LING 37500",Salikoko Mufwene,
ANTH 28010,Introduction to Biological Anthropology,100,,R. Martin,
ANTH 28100,Evolution of the Hominoidea,200,"ANTH 38100,EVOL 38100,HIPS 24000",R. Tuttle,
ANTH 28200,"Naturalizing Disaster: Nature, Vulnerability, and Social History",100,"ANTH 38220,ENST 26201",M. Lycett and P. Drake,
ANTH 28210,Colonial Ecologies,100,"ANTH 48210,ANTH 38210,ENST 28210,LACS 28210","M. Lycett, K. Morrison",
ANTH 28400,Bioarchaeology and the Human Skeleton,100,"ANTH 38800,BIOS 23247",M. C. Lozada,This course qualifies as a Methodology selection for Anthropology majors.
ANTH 28410,Zooarchaeology,100,,G. Stein,
ANTH 28420,"Death, the Body, and the Ends of Life",100,ANTH 48710,A. Yao,
ANTH 28510,Anthropology of Space/Place/Landscape,100,ANTH 58510,F. Richard,
ANTH 28600,Apes and Human Evolution,100,BIOS 13253,R. Tuttle,
ANTH 28702,Archaeologies of Political Life,100,ANTH 58702,F. Richard,
ANTH 29105,Pollen Analysis,100,,K. Morrison,
ANTH 29500,Archaeology Laboratory Practicum,100,ANTH 59500,"F. Richard, S. Dawdy",This course qualifies as a Methodology selection for Anthropology majors. Undergraduates may take it only once for credit.
ANTH 29700,Readings in Anthropology,100,,,"Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either a quality grade or for P/F grading."
ANTH 29900,Preparation of Bachelor's Essay,100,,,"Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either a quality grade or for P/F grading. For honors requirements, see Honors section under Program Requirements."
ANTH 29910,Bachelor's Essay Seminar,100,,,Open only to students currently writing BA honors papers.
ENST 12100,Chemistry and the Atmosphere,100,PHSC 13500,,As of Fall 2015 this course will no longer be offered.
ENST 12300,Global Warming: Understanding the Forecast,100,"PHSC 13400,GEOS 13400,ENSC 13400","D. Archer, D. MacAyeal",
ENST 12402,Life through a Genomic Lens,100,BIOS 11125,"A. Turkewitz, M. Nobrega",
ENST 13106,"The Hungry Earth: Light, Energy, and Subsistence",100,BIOS 13106,M. Ruddat,
ENST 13132,Ecology in the Anthropocene,100,BIOS 13132,Trevor Price,
ENST 13300,The Atmosphere,100,"GEOS 13300,ENSC 13300",D. Abbot,
ENST 20500,Introduction to Population,100,"SOCI 30122,GNDR 20120,GNDR 30120,SOCI 20122",K. Cagney,
ENST 21201,Human Impact on the Environment,100,NCDV 21201,Staff,ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
ENST 21301,Making the Natural World: Foundations of Human Ecology,100,ANTH 21303,M. Lycett,ENST 21201 and 21301 are required of students who are majoring in Environmental Studies and may be taken in any order.
ENST 21800,Economics and Environmental Policy,100,"LLSO 26201,PBPL 21800",S. Shaikh,
ENST 22000,The Anthropology of Development,100,"ANTH 35500,ANTH 22000",A. Kolata,
ENST 22209,Philosophies of Environmentalism and Sustainability,100,"HMRT 22201,MAPH 32209,GNSE 22204,PLSC 22202,PHIL 22209",B. Schultz,Course is open to undergraduates and MAPH students.
